forward_num_scale_length_10000,reverse_num_scale_length_10000,forward_rate_scale_length_10000,reverse_rate_scale_length_10000,organism_num_scale_length_10000,organism_rate_scale_length_10000,forward_num_scale_length_1000,reverse_num_scale_length_1000,forward_rate_scale_length_1000,reverse_rate_scale_length_1000,organism_num_scale_length_1000,organism_rate_scale_length_1000,forward_num_scale_length_100,reverse_num_scale_length_100,forward_rate_scale_length_100,reverse_rate_scale_length_100,organism_num_scale_length_100,organism_rate_scale_length_100,forward_num_scale_length_10,reverse_num_scale_length_10,forward_rate_scale_length_10,reverse_rate_scale_length_10,organism_num_scale_length_10,organism_rate_scale_length_10
993.5,0.0,6.13522967350233,0.0,993.5,6.13522967350233,997.8,0.0,5.39014393808606,0.0,997.8,5.39014393808606,998.2,0.0,5.03865110771602,0.0,998.2,5.03865110771602,998.3,0.0,4.85040359977715,0.0,998.3,4.85040359977715
992.9,0.0,6.14546609802083,0.0,992.9,6.14546609802083,998.0,0.0,5.39251591700735,0.0,998.0,5.39251591700735,998.5,0.0,5.03808020316524,0.0,998.5,5.03808020316524,998.3,0.0,4.82424752782335,0.0,998.3,4.82424752782335
995.6,0.0,6.1475489952663,0.0,995.6,6.1475489952663,998.5,0.0,5.38148719862147,0.0,998.5,5.38148719862147,998.6,0.0,5.04687794006431,0.0,998.6,5.04687794006431,998.0,0.0,4.80276890257413,0.0,998.0,4.80276890257413
993.8,0.0,6.14075572229064,0.0,993.8,6.14075572229064,998.0,0.0,5.37716113057397,0.0,998.0,5.37716113057397,998.3,0.0,5.05362458938759,0.0,998.3,5.05362458938759,997.7,0.0,4.78931319410659,0.0,997.7,4.78931319410659
997.9,0.0,6.15327581869784,0.0,997.9,6.15327581869784,998.4,0.0,5.38592938942887,0.0,998.4,5.38592938942887,998.5,0.0,5.05668504175518,0.0,998.5,5.05668504175518,998.0,0.0,4.79934561042922,0.0,998.0,4.79934561042922
995.1,0.0,6.14615098803271,0.0,995.1,6.14615098803271,997.6,0.0,5.38347966517137,0.0,997.6,5.38347966517137,998.5,0.0,5.05581116701411,0.0,998.5,5.05581116701411,998.5,0.0,4.79224910363517,0.0,998.5,4.79224910363517
995.5,0.0,6.14671859134583,0.0,995.5,6.14671859134583,998.2,0.0,5.38306740633545,0.0,998.2,5.38306740633545,998.1,0.0,5.06809038945097,0.0,998.1,5.06809038945097,998.3,0.0,4.80376222130816,0.0,998.3,4.80376222130816
993.8,0.0,6.15820887101532,0.0,993.8,6.15820887101532,998.4,0.0,5.39132288601227,0.0,998.4,5.39132288601227,998.5,0.0,5.07773013494456,0.0,998.5,5.07773013494456,997.9,0.0,4.7813656707851,0.0,997.9,4.7813656707851
995.0,0.0,6.16787222201485,0.0,995.0,6.16787222201485,998.6,0.0,5.39466299967302,0.0,998.6,5.39466299967302,998.6,0.0,5.07748650132133,0.0,998.6,5.07748650132133,998.1,0.0,4.76542518178041,0.0,998.1,4.76542518178041
997.4,0.0,6.16266060162391,0.0,997.4,6.16266060162391,998.1,0.0,5.39681779529245,0.0,998.1,5.39681779529245,997.7,0.0,5.07616192824099,0.0,997.7,5.07616192824099,997.8,0.0,4.75877041852384,0.0,997.8,4.75877041852384
