forward_num,forward_rate,forward_num,forward_rate,forward_num,forward_rate
999,6.84384384384384,999,6.83583583583584,999,6.98198198198198
999,6.84784784784785,999,6.83283283283283,999,6.98798798798799
999,6.84984984984985,999,6.84684684684685,999,6.97697697697698
999,6.86486486486486,999,6.84384384384384,999,6.96696696696697
999,6.85385385385385,999,6.85085085085085,999,6.98398398398398
999,6.86086086086086,999,6.84984984984985,999,6.998998998999
999,6.86286286286286,999,6.86186186186186,999,6.99099099099099
999,6.86886886886887,999,6.86286286286286,999,6.99199199199199
999,6.85985985985986,999,6.86786786786787,999,6.98298298298298
999,6.86386386386386,999,6.85485485485485,999,6.97397397397397
999,6.86486486486486,999,6.86186186186186,999,6.97897897897898
999,6.87587587587588,999,6.85185185185185,999,6.98298298298298
999,6.87387387387387,999,6.84384384384384,999,6.97797797797798
999,6.87987987987988,999,6.84884884884885,999,6.96996996996997
999,6.87687687687688,999,6.83983983983984,999,6.97397397397397
999,6.88488488488488,999,6.83283283283283,999,6.95695695695696
999,6.87787787787788,999,6.81781781781782,999,6.94694694694695
999,6.88088088088088,999,6.82282282282282,999,6.94794794794795
999,6.87887887887888,999,6.82882882882883,999,6.94594594594595
999,6.88988988988989,999,6.83483483483483,999,6.95095095095095
999,6.87987987987988,999,6.83883883883884,999,6.96096096096096
999,6.87387387387387,999,6.83383383383383,999,6.95895895895896
999,6.86986986986987,999,6.82282282282282,999,6.95295295295295
999,6.87087087087087,999,6.81581581581582,999,6.95995995995996
999,6.88888888888889,999,6.80980980980981,999,6.96496496496496
999,6.87287287287287,999,6.80580580580581,999,6.96696696696697
999,6.87387387387387,999,6.81281281281281,999,6.95495495495495
999,6.87787787787788,999,6.81181181181181,999,6.95895895895896
999,6.87987987987988,999,6.81481481481481,999,6.95195195195195
999,6.88288288288288,999,6.80580580580581,999,6.94094094094094
999,6.88888888888889,999,6.8038038038038,999,6.93893893893894
999,6.88288288288288,999,6.80880880880881,999,6.94094094094094
999,6.89389389389389,999,6.80880880880881,999,6.93793793793794
999,6.90590590590591,999,6.81781781781782,999,6.92392392392392
999,6.90790790790791,999,6.82582582582583,999,6.92192192192192
